lon,lat,date,analysis_date,n_z_valid_T,dataset
-87.527924,26.980850,2025-04-09,20250405,41,qcobs_profile_orig
-87.164520,27.536131,2025-04-09,20250405,41,qcobs_profile_orig
-93.718323,20.993950,2025-04-09,20250405,41,qcobs_profile_orig
-89.538849,25.387991,2025-04-09,20250405,41,qcobs_profile_orig
-87.134911,27.490780,2025-04-09,20250405,38,qcobs_profile_orig
-91.009399,24.633900,2025-04-09,20250405,39,qcobs_profile_orig
-89.521027,27.329439,2025-04-02,20250406,41,qcobs_profile_orig
-84.752151,25.399281,2025-04-02,20250406,40,qcobs_profile_orig
-87.054321,26.124020,2025-04-02,20250406,41,qcobs_profile_orig
-87.795303,25.239700,2025-04-02,20250406,41,qcobs_profile_orig
-88.692719,25.854740,2025-04-02,20250406,41,qcobs_profile_orig
-96.170120,24.773581,2025-04-02,20250406,34,qcobs_profile_orig
-95.513771,19.736271,2025-04-03,20250406,41,qcobs_profile_orig
-87.428032,27.386209,2025-04-03,20250406,41,qcobs_profile_orig
-90.256622,25.421490,2025-04-03,20250406,41,qcobs_profile_orig
-85.104141,23.942511,2025-04-03,20250406,41,qcobs_profile_orig
-96.269890,23.005630,2025-04-03,20250406,41,qcobs_profile_orig
-86.903831,28.056789,2025-04-03,20250406,41,qcobs_profile_orig
-94.790939,19.130501,2025-04-04,20250406,35,qcobs_profile_orig
-96.161324,20.299030,2025-04-04,20250406,34,qcobs_profile_orig
-89.428772,27.678600,2025-04-04,20250406,34,qcobs_profile_orig
-87.873810,26.736259,2025-04-04,20250406,41,qcobs_profile_orig
-86.978844,27.544451,2025-04-04,20250406,41,qcobs_profile_orig
-94.025650,20.735821,2025-04-04,20250406,41,qcobs_profile_orig
-89.213852,25.086040,2025-04-04,20250406,41,qcobs_profile_orig
-86.978561,27.510679,2025-04-04,20250406,38,qcobs_profile_orig
-86.568001,26.225100,2025-04-04,20250406,40,qcobs_profile_orig
-93.497673,24.238800,2025-04-05,20250406,41,qcobs_profile_orig
-94.821877,19.397261,2025-04-06,20250406,41,qcobs_profile_orig
-89.361603,28.130980,2025-04-06,20250406,32,qcobs_profile_orig
-81.625587,23.391230,2025-04-06,20250406,35,qcobs_profile_orig
-84.283333,24.064920,2025-04-06,20250406,41,qcobs_profile_orig
-91.513680,26.976690,2025-04-06,20250406,39,qcobs_profile_orig
-80.572762,23.765440,2025-04-06,20250406,30,qcobs_profile_orig
-84.028870,24.418760,2025-04-06,20250406,38,qcobs_profile_orig
-89.618492,27.387310,2025-04-07,20250406,40,qcobs_profile_orig
